year,amount,Inflation Rate,Inflation Rate +ve,Inflation Rate -ve,Purchasing Power
2006,24.29,0.03,3%,#N/A,0.041169205
2007,24.98,0.03,3%,#N/A,0.040032026
2008,25.94,0.04,4%,#N/A,0.038550501
2009,25.85,0,0%,0%,0.03868472
2010,26.27,0.02,2%,#N/A,0.038066235
2011,27.1,0.03,3%,#N/A,0.036900369
2012,27.66,0.02,2%,#N/A,0.03615329
2013,28.07,0.01,1%,#N/A,0.035625223
2014,28.52,0.02,2%,#N/A,0.035063114
2015,28.56,0,0%,0%,0.035014006
2016,28.92,0.01,1%,#N/A,0.034578147
2017,29.53,0.02,2%,#N/A,0.033863867
2018,30.27,0.02,2%,#N/A,0.033036009
2019,30.8,0.02,2%,#N/A,0.032467532
2020,31.1,0.01,1%,#N/A,0.032154341
